"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","character_maximum_length","character_octet_length","numeric_precision","numeric_precision_radix","numeric_scale","datetime_precision","interval_type","interval_precision","character_set_catalog","character_set_schema","character_set_name","collation_catalog","collation_schema","collation_name","domain_catalog","domain_schema","domain_name","udt_catalog","udt_schema","udt_name","scope_catalog","scope_schema","scope_name","maximum_cardinality","dtd_identifier","is_self_referencing","is_identity","identity_generation","identity_start","identity_increment","identity_maximum","identity_minimum","identity_cycle","is_generated","generation_expression","is_updatable"
"workflow","public","arbitry","dest",2,"","YES","character varying",50,200,"","","","","","","","","","","","","","","","workflow","pg_catalog","varchar","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","arbitry","a_40",4,"","YES","smallint","","",16,2,0,"","","","","","","","","","","","","workflow","pg_catalog","int2","","","","","4","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","arbitry","a_20",3,"","YES","smallint","","",16,2,0,"","","","","","","","","","","","","workflow","pg_catalog","int2","","","","","3","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","arbitry","orig",1,"","YES","character varying",50,200,"","","","","","","","","","","","","","","","workflow","pg_catalog","varchar","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","arbitry","valid",6,"","YES","date","","","","","",0,"","","","","","","","","","","","workflow","pg_catalog","date","","","","","6","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","arbitry","a_hq",5,"","YES","smallint","","",16,2,0,"","","","","","","","","","","","","workflow","pg_catalog","int2","","","","","5","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","contact_list","to_or_copy",3,"","YES","character",1,4,"","","","","","","","","","","","","","","","workflow","pg_catalog","bpchar","","","","","3","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","contact_list","addressee",2,"","YES","character varying",50,200,"","","","","","","","","","","","","","","","workflow","pg_catalog","varchar","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","contact_list","region",1,"","YES","character varying",10,40,"","","","","","","","","","","","","","","","workflow","pg_catalog","varchar","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","freight","terms",11,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","workflow","pg_catalog","text","","","","","11","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","freight","ver",1,"","YES","bigint","","",64,2,0,"","","","","","","","","","","","","workflow","pg_catalog","int8","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"workflow","public","freight","region",2,"","YES","character varying",10,40,"","","","","","","","","","","","","","","","workflow","pg_catalog","varchar","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
